"customer_id","purchase","max_of_sales","next_max_of_sales"
"KH-16510","23","34","23"
"KH-16630","17","34","17"
"KH-16690","15","34","22"
"KL-16555","22","34","29"
"KL-16645","29","34","29"
"KM-16225","19","34","20"
"KM-16375","20","34","20"
"KM-16660","9","34","28"
"KM-16720","28","34","28"
"KN-16390","17","34","17"
"KN-16450","8","34","15"
"KN-16705","15","34","15"
"KS-16300","4","34","14"
"KT-16465","14","34","14"
"KT-16480","13","34","13"
"KW-16435","10","34","10"
"KW-16570","5","34","26"
"LA-16780","26","34","26"
"LB-16735","3","34","24"
"LB-16795","24","34","30"
"LC-16870","30","34","30"
"LC-16885","23","34","23"
"LC-16930","14","34","14"
"LC-16960","7","34","9"
"LC-17050","9","34","19"
"LC-17140","19","34","19"
"LD-16855","1","34","7"
"LD-17005","7","34","9"
"LE-16810","9","34","16"
"LF-17185","16","34","16"
"LH-16750","3","34","15"
"LH-16900","15","34","15"
"LH-17020","6","34","19"
"LH-17155","19","34","19"
"LL-16840","12","34","12"
"LM-17065","7","34","9"
"LO-17170","9","34","9"
"LP-17080","9","34","15"
"LP-17095","15","34","16"
"LR-16915","16","34","16"
"LR-17035","12","34","14"
"LS-16945","14","34","22"
"LS-16975","22","34","22"
"LS-17200","14","34","14"
"LS-17230","6","34","12"
"LS-17245","12","34","12"
"LT-16765","3","34","14"
"LT-17110","14","34","15"
"LW-16825","15","34","15"
"LW-16990","11","34","11"
"LW-17125","5","34","15"
"LW-17215","15","34","34"
"MA-17560","34","34","34"
"MA-17995","12","34","19"
"MB-17305","19","34","19"
"MB-18085","10","34","13"
"MC-17275","13","34","13"
"MC-17425","10","34","11"
"MC-17575","11","34","17"
"MC-17590","17","34","18"
"MC-17605","18","34","18"
"MC-17635","8","34","14"
"MC-17845","14","34","19"
"MC-18100","19","34","19"
"MC-18130","11","34","17"
"MD-17350","17","34","17"
"MD-17860","8","34","22"
"ME-17320","22","34","22"
"ME-17725","13","34","13"
"ME-18010","6","34","8"
"MF-17665","8","34","12"
"MF-18250","12","34","14"
"MG-17650","14","34","14"
"MG-17680","10","34","10"
"MG-17695","7","34","7"
"MG-17875","7","34","13"
"MG-17890","13","34","13"
"MG-18145","8","34","8"
"MG-18205","2","34","13"
"MH-17290","13","34","13"
"MH-17440","9","34","11"
"MH-17455","11","34","11"
"MH-17620","6","34","11"
"MH-17785","11","34","11"
"MH-18025","10","34","22"
"MH-18115","22","34","22"
"MJ-17740","15","34","17"
"MK-17905","17","34","17"
"MK-18160","11","34","20"
"ML-17395","20","34","20"
"ML-17410","15","34","15"
"ML-17755","13","34","13"
"ML-18040","4","34","4"
"ML-18265","3","34","6"
"MM-17260","6","34","16"
"MM-17920","16","34","19"
"MM-18055","19","34","19"
"MM-18280","12","34","12"
"MN-17935","10","34","10"
"MO-17500","5","34","11"
"MO-17800","11","34","11"
"MO-17950","4","34","14"
"MP-17470","14","34","20"
"MP-17965","20","34","20"
"MP-18175","19","34","19"
"MR-17545","6","34","24"
"MS-17365","24","34","24"
"MS-17530","7","34","15"
"MS-17710","15","34","19"
"MS-17770","19","34","19"
"MS-17830","5","34","11"
"MS-17980","11","34","11"
"MT-17815","10","34","11"
"MT-18070","11","34","15"
"MV-17485","15","34","15"
"MV-18190","11","34","14"
"MW-18220","14","34","14"
"MW-18235","3","34","13"
"MY-17380","13","34","21"
"MY-18295","21","34","21"
"MZ-17335","6","34","10"
"MZ-17515","10","34","10"
"NB-18580","2","34","17"
"NB-18655","17","34","17"
"NC-18340","17","34","17"
"NC-18415","14","34","15"
"NC-18535","15","34","15"
"NC-18625","9","34","18"
"ND-18370","18","34","18"
"ND-18460","8","34","14"
"NF-18385","14","34","14"
"NF-18475","4","34","12"
"NF-18595","12","34","16"
"NG-18355","16","34","16"
"NG-18430","9","34","11"
"NH-18610","11","34","11"
"NK-18490","11","34","11"
"NL-18310","10","34","14"
"NM-18445","14","34","15"
"NM-18520","15","34","21"
"NP-18325","21","34","21"
"NP-18670","10","34","10"
"NP-18685","7","34","13"
"NP-18700","13","34","13"
"NR-18550","13","34","15"
"NS-18505","15","34","26"
"NS-18640","26","34","26"
"NW-18400","22","34","22"
"NZ-18565","20","34","20"
"ON-18715","15","34","15"
"OT-18730","10","34","10"
"PA-19060","7","34","10"
"PB-18805","10","34","10"
"PB-19105","5","34","11"
"PB-19150","11","34","11"
"PB-19210","2","34","5"
"PC-18745","5","34","5"
"PC-19000","3","34","19"
"PF-19120","19","34","19"
"PF-19165","10","34","10"
"PF-19225","10","34","26"
"PG-18820","26","34","26"
"PG-18895","17","34","17"
"PH-18790","2","34","13"
"PJ-18835","13","34","13"
"PJ-19015","10","34","10"
"PK-18910","3","34","25"
"PK-19075","25","34","25"
"PL-18925","8","34","8"
"PM-18940","4","34","7"
"PM-19135","7","34","13"
"PN-18775","13","34","22"
"PO-18850","22","34","22"
"PO-18865","13","34","18"
"PO-19180","18","34","18"
"PO-19195","10","34","34"
"PP-18955","34","34","34"
"PR-18880","12","34","21"
"PS-18760","21","34","21"
"PS-18970","13","34","13"
"PS-19045","13","34","13"
"PT-19090","7","34","13"
"PV-18985","13","34","13"
"PW-19030","13","34","13"
"PW-19240","12","34","13"
"QJ-19255","13","34","17"
"RA-19285","17","34","17"
"RA-19885","15","34","22"
"RA-19915","22","34","22"
"RA-19945","9","34","9"
"RB-19330","6","34","18"
"RB-19360","18","34","18"
"RB-19435","16","34","23"
"RB-19465","23","34","23"
"RB-19570","9","34","9"
"RB-19645","7","34","7"
"RB-19705","7","34","18"
"RB-19795","18","34","18"
"RC-19825","10","34","11"
"RC-19960","11","34","15"
"RD-19480","15","34","19"
"RD-19585","19","34","19"
"RD-19660","5","34","20"
"RD-19720","20","34","20"
"RD-19810","16","34","21"
"RD-19900","21","34","21"
"RD-19930","10","34","10"
"RE-19405","1","34","9"
"RE-19450","9","34","16"
"RF-19345","16","34","16"
"RF-19735","14","34","14"
"RF-19840","11","34","11"
"RH-19495","8","34","12"
"RH-19510","12","34","12"
"RH-19555","3","34","11"
"RH-19600","11","34","11"
"RK-19300","8","34","24"
"RL-19615","24","34","24"
"RM-19375","9","34","11"
"RM-19675","11","34","11"
"RM-19750","2","34","12"
"RO-19780","12","34","12"
"RP-19270","12","34","25"
"RP-19390","25","34","25"
"RP-19855","15","34","15"
"RR-19315","4","34","10"
"RR-19525","10","34","10"
"RS-19420","9","34","14"
"RS-19765","14","34","14"
"RS-19870","3","34","23"
"RW-19540","23","34","23"
"RW-19630","16","34","16"
"RW-19690","15","34","21"
"SA-20830","21","34","21"
"SB-20170","7","34","12"
"SB-20185","12","34","17"
"SB-20290","17","34","17"
"SC-20020","17","34","17"
"SC-20050","15","34","22"
"SC-20095","22","34","22"
"SC-20230","11","34","18"
"SC-20260","18","34","18"
"SC-20305","12","34","20"
"SC-20380","20","34","20"
"SC-20440","10","34","10"
"SC-20575","7","34","8"
"SC-20680","8","34","14"
"SC-20695","14","34","26"
"SC-20725","26","34","26"
"SC-20770","21","34","21"
"SC-20800","5","34","5"
"SC-20845","4","34","21"
"SD-20485","21","34","21"
"SE-20110","19","34","19"
"SF-20065","9","34","15"
"SF-20200","15","34","17"
"SF-20965","17","34","17"
"SG-20080","11","34","14"
"SG-20470","14","34","14"
"SG-20605","13","34","13"
"SG-20890","5","34","29"
"SH-19975","29","34","29"
"SH-20395","15","34","15"
"SH-20635","2","34","24"
"SJ-20125","24","34","24"
"SJ-20215","10","34","10"
"SJ-20500","7","34","7"
"SK-19990","5","34","9"
"SL-20155","9","34","9"
"SM-20005","6","34","15"
"SM-20320","15","34","15"
"SM-20905","6","34","22"
"SM-20950","22","34","22"
"SN-20560","15","34","19"
"SN-20710","19","34","19"
"SO-20335","15","34","15"
"SP-20545","10","34","24"
"SP-20620","24","34","24"
"SP-20650","15","34","24"
"SP-20860","24","34","24"
"SP-20920","14","34","14"
"SR-20425","9","34","12"
"SR-20740","12","34","21"
"SS-20140","21","34","21"
"SS-20410","12","34","12"
"SS-20515","6","34","9"
"SS-20590","9","34","15"
"SS-20875","15","34","15"
"ST-20530","12","34","18"
"SU-20665","18","34","32"
"SV-20365","32","34","32"
"SV-20785","25","34","25"
"SV-20815","6","34","13"
"SV-20935","13","34","13"
"SW-20245","10","34","10"
"SW-20275","7","34","7"
"SW-20350","6","34","9"
"SW-20455","9","34","9"
"SW-20755","8","34","20"
"SZ-20035","20","34","20"
"TA-21385","10","34","18"
"TB-21055","18","34","18"
"TB-21175","11","34","11"
"TB-21190","4","34","19"
"TB-21250","19","34","19"
"TB-21280","11","34","13"
"TB-21355","13","34","17"
"TB-21400","17","34","20"
"TB-21520","20","34","20"
"TB-21595","7","34","15"
"TB-21625","15","34","15"
"TC-20980","12","34","12"
"TC-21145","4","34","16"
"TC-21295","16","34","16"
"TC-21475","11","34","11"
"TC-21535","10","34","16"
"TD-20995","16","34","16"
"TG-21310","9","34","10"
"TG-21640","10","34","10"
"TH-21100","7","34","9"
"TH-21115","9","34","13"
"TH-21235","13","34","13"
"TH-21550","13","34","19"
"TM-21010","19","34","19"
"TM-21490","4","34","12"
"TN-21040","12","34","16"
"TP-21130","16","34","16"
"TP-21415","10","34","10"
"TP-21565","10","34","10"
"TR-21325","7","34","7"
"TS-21085","2","34","17"
"TS-21160","17","34","19"
"TS-21205","19","34","19"
"TS-21340","12","34","15"
"TS-21370","15","34","15"
"TS-21430","7","34","14"
"TS-21505","14","34","14"
"TS-21610","11","34","14"
"TS-21655","14","34","14"
"TT-21070","14","34","15"
"TT-21220","15","34","15"
"TT-21265","3","34","14"
"TT-21460","14","34","14"
"TW-21025","12","34","12"
"TZ-21580","9","34","10"
"VB-21745","10","34","16"
"VD-21670","16","34","16"
"VF-21715","11","34","11"
"VG-21790","8","34","8"
"VG-21805","6","34","12"
"VM-21685","12","34","12"
"VM-21835","8","34","8"
"VP-21730","5","34","14"
"VP-21760","14","34","14"
"VS-21820","8","34","9"
"VT-21700","9","34","18"
"VW-21775","18","34","37"
"WB-21850","37","37","37"
"XP-21865","28","37","28"
"YC-21895","8","37","12"
"YS-21880","12","37","31"
"ZC-21910","31","37","31"
"ZD-21925","9","37","9"
