"ship_mode","category","sub_category","sum"
NULL,"Office Supplies","Labels","1400"
NULL,"Office Supplies","Envelopes","906"
NULL,"Office Supplies","Paper","5178"
NULL,"Furniture","Furnishings","3563"
NULL,"Office Supplies","Fasteners","914"
NULL,"Office Supplies","Binders","5974"
NULL,"Furniture",NULL,"8028"
NULL,"Office Supplies",NULL,"22906"
NULL,"Technology",NULL,"6939"
"Second Class",NULL,"Supplies","152"
"Standard Class",NULL,"Phones","1987"
"Standard Class",NULL,"Furnishings","2186"
"Same Day",NULL,"Copiers","16"
"Second Class",NULL,"Labels","252"
"Second Class",NULL,"Tables","257"
"Standard Class",NULL,"Tables","723"
"Same Day",NULL,"Chairs","160"
"Same Day",NULL,"Fasteners","53"
"Standard Class",NULL,"Appliances","1075"
"Same Day",NULL,"Phones","143"
"Standard Class",NULL,"Bookcases","487"
"First Class",NULL,"Tables","176"
"Standard Class",NULL,"Chairs","1372"
"Same Day",NULL,"Supplies","34"
"First Class",NULL,"Machines","76"
"Same Day",NULL,"Machines","35"
"Second Class",NULL,"Bookcases","175"
"First Class",NULL,"Phones","501"
"Second Class",NULL,"Appliances","324"
"Second Class",NULL,"Copiers","44"
"Second Class",NULL,"Furnishings","648"
"Standard Class",NULL,"Binders","3777"
"Standard Class",NULL,"Labels","830"
"First Class",NULL,"Binders","918"
"Standard Class",NULL,"Paper","2984"
"First Class",NULL,"Appliances","253"
"Same Day",NULL,"Furnishings","189"
"Same Day",NULL,"Labels","68"
"Same Day",NULL,"Accessories","166"
"Same Day",NULL,"Envelopes","58"
"First Class",NULL,"Supplies","74"
"Standard Class",NULL,"Machines","286"
"Second Class",NULL,"Accessories","629"
"Standard Class",NULL,"Copiers","129"
"First Class",NULL,"Furnishings","540"
"Standard Class",NULL,"Supplies","387"
"First Class",NULL,"Storage","458"
"First Class",NULL,"Chairs","335"
"Same Day",NULL,"Paper","287"
"First Class",NULL,"Accessories","461"
"Second Class",NULL,"Phones","658"
"Second Class",NULL,"Chairs","489"
"Second Class",NULL,"Binders","1021"
"Same Day",NULL,"Appliances","77"
"Second Class",NULL,"Envelopes","186"
"First Class",NULL,"Art","414"
"Second Class",NULL,"Art","585"
"First Class",NULL,"Copiers","45"
"Second Class",NULL,"Storage","670"
"Same Day",NULL,"Art","133"
"Standard Class",NULL,"Accessories","1720"
"Standard Class",NULL,"Art","1868"
"Second Class",NULL,"Paper","1122"
"Standard Class",NULL,"Fasteners","587"
"Second Class",NULL,"Fasteners","168"
"Same Day",NULL,"Binders","258"
"Same Day",NULL,"Tables","85"
"Same Day",NULL,"Bookcases","19"
"Standard Class",NULL,"Storage","1851"
"First Class",NULL,"Labels","250"
"First Class",NULL,"Paper","785"
"Second Class",NULL,"Machines","43"
"First Class",NULL,"Bookcases","187"
"Standard Class",NULL,"Envelopes","548"
"First Class",NULL,"Fasteners","106"
"Same Day",NULL,"Storage","179"
"First Class",NULL,"Envelopes","114"
NULL,NULL,"Tables","1241"
NULL,NULL,"Art","3000"
NULL,NULL,"Storage","3158"
NULL,NULL,"Bookcases","868"
NULL,NULL,"Fasteners","914"
NULL,NULL,"Envelopes","906"
NULL,NULL,"Appliances","1729"
NULL,NULL,"Accessories","2976"
NULL,NULL,"Paper","5178"
NULL,NULL,"Phones","3289"
NULL,NULL,"Binders","5974"
NULL,NULL,"Copiers","234"
NULL,NULL,"Supplies","647"
NULL,NULL,"Labels","1400"
NULL,NULL,"Chairs","2356"
NULL,NULL,"Machines","440"
NULL,NULL,"Furnishings","3563"
